1024 10
0 1023
500 101 213
500 76 118
500 390 131
500 769 129
501 580 228
501 86 27
501 366 242
501 512 98
501 838 15
501 754 176
501 691 237
501 562 243
503 680 94
503 333 41
504 238 75
504 411 222
504 386 100
504 165 154
504 799 126
504 337 91
504 12 212
505 930 225
505 547 99
505 617 33
505 320 12
505 258 187
505 500 121
505 559 199
505 43 134
505 299 199
506 283 55
506 993 140
506 704 151
506 63 179
506 74 29
506 44 225
506 532 248
506 401 124
507 183 51
507 909 62
507 484 52
507 671 22
507 562 107
508 744 252
508 269 177
508 167 159
508 752 77
508 400 122
508 710 94
508 1017 249
508 26 190
508 496 122
509 247 251
509 369 57
509 932 184
509 911 129
509 278 157
510 44 22
510 593 55
510 687 41
510 807 162
510 1020 242
510 1010 95
510 567 213
510 64 75
511 406 53
511 356 99
511 225 179
511 882 72
512 515 35
512 518 218
512 932 34
512 819 161
512 360 21
512 950 148
512 84 46
513 878 116
514 374 161
514 586 89
514 88 169
514 910 162
514 363 68
514 158 2
514 1020 87
515 217 59
516 535 66
516 829 76
516 755 214
516 725 45
516 299 140
517 958 156
517 32 140
517 1020 165
517 239 3
517 502 198
517 252 137
518 930 159
518 836 198
518 470 157
518 942 247
518 1007 16
518 511 113
518 336 229
518 835 16
519 351 131
519 353 153
520 844 45
520 559 158
520 221 122
520 268 120
520 318 226
520 632 182
520 122 135
520 954 133
521 125 55
521 397 178
521 683 18
521 456 187
522 903 45
523 260 150
523 600 128
523 505 250
523 911 135
523 978 83
523 415 123
523 418 201
523 548 115
523 815 48
525 863 45
525 290 87
525 27 176
525 521 52
526 748 148
526 318 19
526 673 183
526 782 105
526 651 146
526 181 198
527 495 244
527 123 253
527 478 235
527 116 252
527 508 252
528 968 33
528 813 190
528 404 146
529 798 111
529 754 144
529 705 148
529 577 89
529 653 42
529 228 130
529 279 140
529 242 254
529 471 165
530 907 121
530 394 228
530 689 20
530 886 48
531 160 82
531 611 166
531 130 6
532 773 203
532 54 39
532 674 105
532 280 32
532 929 127
532 462 196
532 623 237
532 451 130
533 110 180
533 707 23
533 649 227
534 315 117
534 259 22
534 970 20
534 937 163
535 229 202
535 995 191
535 252 109
535 53 5
535 142 200
535 108 65
535 352 207
535 566 142
535 740 128
536 807 126
536 22 220
536 164 7
536 165 87
536 534 108
536 30 224
536 865 236
537 884 91
537 75 103
537 607 194
537 187 149
537 744 198
537 646 44
537 649 97
537 592 60
538 367 41
538 505 39
538 589 119
538 279 6
539 857 60
539 542 146
540 126 106
541 807 189
541 520 216
541 856 117
541 157 19
541 221 99
542 563 234
542 299 197
543 719 106
543 76 115
543 797 211
543 927 119
543 202 21
543 791 22
543 733 23
543 792 112
544 795 233
544 1018 79
544 979 113
544 13 223
545 678 217
545 713 150
545 518 153
545 984 30
545 669 247
545 190 8
545 798 226
545 232 161
546 174 14
546 317 101
546 501 72
546 388 143
547 724 238
547 924 17
547 120 146
547 320 135
547 922 31
547 709 170
547 164 33
548 849 42
548 469 234
548 94 205
548 375 83
548 770 150
548 611 100
549 693 194
549 534 50
549 71 154
549 889 77
549 301 182
549 146 57
549 369 102
550 153 36
550 308 235
550 722 94
550 443 196
550 416 130
550 70 84
550 254 153
550 1014 126
551 806 104
551 18 98
551 382 220
551 799 192
551 538 227
551 191 105
551 55 181
551 846 57
551 632 99
552 444 119
552 650 72
552 892 147
553 142 224
553 893 214
553 298 217
554 116 123
554 754 23
555 952 69
555 696 60
555 737 26
555 367 128
555 488 22
555 1012 15
555 916 190
555 709 143
555 498 170
556 473 222
556 338 128
556 726 212
556 307 141
556 463 157
556 52 148
556 930 242
556 639 80
556 593 120
557 440 230
557 729 100
558 548 249
558 542 26
559 793 31
559 908 150
559 468 90
559 826 30
559 964 119
560 125 22
560 74 73
560 194 166
560 664 28
560 962 235
560 339 137
561 515 155
561 804 92
562 623 45
562 808 249
562 449 197
562 699 140
562 390 221
562 902 203
562 101 227
562 310 198
563 322 23
563 673 237
563 166 113
563 7 162
563 458 168
563 596 153
564 582 179
566 816 241
566 444 220
566 182 104
566 922 202
566 893 113
566 188 71
567 11 91
567 684 199
567 273 151
567 665 170
567 174 234
567 709 223
567 551 96
567 787 249
567 91 74
568 996 204
568 664 38
568 326 152
568 120 169
568 366 188
568 143 128
568 589 229
568 357 167
569 11 44
569 141 209
569 381 235
569 255 224
570 698 92
570 1019 160
570 589 122
570 909 231
571 476 172
571 544 188
571 938 67
571 29 213
571 606 29
572 941 79
572 778 176
572 232 195
572 727 225
572 246 4
572 299 72
572 450 255
572 879 53
572 25 94
573 880 6
573 317 100
573 731 254
573 459 208
574 301 21
574 892 253
574 869 79
574 352 149
574 106 111
575 36 29
576 189 207
576 162 73
576 688 29
576 678 199
577 841 255
577 520 109
577 280 74
577 751 142
577 43 27
577 201 155
577 573 238
577 1012 211
577 200 116
578 439 124
578 714 19
578 687 61
578 273 44
578 248 223
578 514 123
578 841 66
578 223 95
579 212 231
579 683 235
579 302 12
580 408 136
580 422 61
580 275 226
580 792 134
580 981 233
580 599 97
580 354 173
580 337 254
580 231 211
584 108 172
584 675 234
584 730 58
584 322 76
584 811 127
584 648 62
585 570 181
585 400 245
585 987 35
585 9 103
586 841 222
586 15 187
586 551 238
586 300 207
586 617 212
587 89 10
587 995 27
587 581 75
587 161 153
587 554 8
587 112 115
587 219 46
587 910 33
588 756 216
588 977 65
588 0 121
588 234 253
589 33 222
589 122 12
589 537 187
589 375 64
590 186 224
590 538 128
590 284 214
590 158 116
590 651 140
590 437 118
590 668 227
590 60 189
591 885 29
591 990 61
591 647 128
591 490 20
591 653 41
593 26 153
593 590 84
593 885 44
594 392 73
594 623 209
594 356 41
595 903 51
595 605 133
596 400 51
596 298 209
596 716 183
596 939 146
596 831 55
596 275 133
596 624 118
597 448 179
597 499 221
597 136 7
598 486 93
598 730 9
598 966 51
598 344 102
598 132 121
598 759 151
598 368 38
598 59 122
598 533 25
599 900 172
599 991 253
599 16 6
600 273 40
600 491 98
600 433 112
600 110 215
601 217 144
601 729 255
601 760 86
601 237 46
601 305 9
601 379 84
601 260 164
602 133 201
602 885 55
602 568 28
602 227 91
602 100 157
602 564 128
602 115 152
602 235 220
602 361 68
603 279 249
603 593 92
603 985 198
604 568 119
604 905 217
604 934 121
604 557 167
604 379 32
604 1023 26
604 240 237
604 334 220
604 385 67
605 942 137
605 862 220
605 542 185
605 956 137
606 189 36
607 386 20
607 1023 70
608 283 178
608 786 171
608 787 245
608 157 1
608 446 135
609 260 14
609 660 132
609 853 56
609 140 254
610 188 120
610 789 91
610 427 85
610 469 179
610 886 64
610 391 19
610 923 133
611 593 100
611 406 1
611 914 46
611 441 34
611 209 137
611 127 239
612 996 95
613 113 45
613 541 150
613 871 197
613 273 77
613 986 177
613 558 111
613 610 54
614 685 215
614 928 244
615 150 80
615 170 47
615 371 55
615 322 233
615 378 66
615 311 14
615 994 36
615 786 88
616 844 139
616 648 161
617 151 91
617 450 78
617 24 30
617 863 202
617 482 10
618 180 150
618 747 223
618 282 32
618 684 185
618 640 34
619 33 205
619 720 148
619 961 17
619 224 124
620 840 198
620 714 10
620 879 122
622 55 192
622 972 99
622 596 89
622 582 233
622 1023 252
622 451 23
623 207 121
623 62 221
623 698 226
623 799 90
623 439 136
623 521 122
624 1012 81
624 162 114
624 841 133
624 268 110
624 863 228
625 520 218
625 950 242
627 679 33
627 102 214
627 426 69
627 184 245
627 141 73
627 857 247
627 1009 190
627 60 75
628 588 74
628 144 5
629 506 214
629 426 102
629 155 121
630 852 110
630 1021 235
630 72 201
630 350 88
630 937 181
630 692 58
631 173 106
631 193 28
631 619 52
631 810 174
631 698 4
631 764 23
632 607 105
632 1023 74
632 394 21
632 314 1
632 601 76
634 720 108
634 17 129
636 500 8
636 936 186
636 224 49
636 629 44
636 955 72
636 903 118
637 202 151
637 32 176
637 229 178
638 358 142
638 315 94
638 209 160
638 293 66
638 308 26
638 529 36
638 275 244
638 674 11
638 787 228
639 234 218
640 683 164
640 266 88
640 532 170
640 590 218
640 980 56
640 1001 9
640 355 38
640 738 208
640 577 79
641 377 136
641 813 112
641 35 53
641 414 92
643 616 160
643 920 242
643 215 138
643 398 191
643 348 211
643 853 21
643 317 141
644 310 91
644 971 103
644 938 237
644 3 210
645 849 110
645 209 93
645 982 84
645 960 113
645 811 128
645 236 71
646 559 5
646 624 141
646 974 60
646 790 180
646 807 156
646 541 49
646 431 155
647 697 23
647 121 39
647 325 180
647 513 76
647 463 122
648 291 70
648 605 220
648 332 116
649 230 89
649 187 19
649 5 221
649 489 121
650 547 109
650 666 201
650 965 161
650 310 41
650 475 236
650 1000 91
650 627 219
651 629 3
652 672 232
652 677 12
653 988 74
653 637 22
653 275 52
653 1012 84
653 362 140
653 514 149
653 188 244
653 223 56
653 897 144
654 126 18
654 362 151
657 668 222
657 108 72
657 224 189
657 804 234
657 283 116
657 442 66
657 567 67
658 676 39
658 3 109
658 736 65
658 5 196
658 26 119
658 650 100
659 754 171
659 2 2
659 868 223
659 720 111
659 94 215
660 15 182
660 121 158
660 210 129
660 117 112
661 380 89
661 11 83
661 447 241
662 489 58
662 260 155
662 650 145
662 439 135
662 211 230
662 690 61
662 50 138
664 352 31
664 207 182
665 486 200
665 397 206
665 474 22
665 946 203
665 799 138
665 108 167
665 910 107
666 73 255
666 222 128
666 808 216
666 899 244
666 198 235
667 476 60
667 46 173
667 263 12
667 536 233
668 889 72
669 637 160
670 95 37
670 371 54
671 714 206
671 60 10
671 956 101
671 473 228
671 507 99
671 778 128
671 803 28
672 806 82
672 478 53
672 872 87
672 876 35
672 441 181
672 569 117
672 657 72
673 602 53
673 298 122
673 775 233
673 368 42
673 375 195
673 877 172
673 599 147
674 379 70
674 187 234
674 856 247
674 558 215
674 993 226
674 40 242
674 703 117
674 203 11
675 786 51
675 702 129
675 462 112
675 683 119
675 398 97
675 349 103
675 442 22
675 278 115
676 92 35
676 688 91
676 355 234
676 544 197
676 992 86
679 443 158
679 36 171
680 845 105
680 744 122
680 316 23
680 539 217
680 906 24
680 402 59
680 774 246
680 712 165
682 605 77
682 706 74
682 289 121
682 1007 207
682 433 251
682 652 129
683 161 152
683 674 197
683 758 148
683 194 142
683 847 190
683 306 31
683 463 155
684 1014 96
684 761 162
684 373 88
684 443 133
684 47 37
684 834 7
684 202 190
684 868 122
684 546 24
685 416 92
685 586 241
685 410 239
685 82 16
685 430 84
685 573 19
685 587 168
686 519 217
686 376 151
686 356 154
686 807 244
686 190 49
687 217 148
688 243 34
688 686 72
688 266 147
688 361 15
688 366 80
688 160 61
689 553 246
689 116 19
689 404 179
689 661 185
689 377 167
689 743 243
689 897 173
689 379 186
689 50 60
690 19 171
690 704 137
690 476 226
690 850 234
690 312 200
690 224 31
691 951 97
691 527 148
691 606 179
691 724 248
691 296 214
691 212 80
692 561 237
692 952 60
692 293 35
692 495 17
692 496 162
692 368 85
692 421 8
692 400 206
693 576 14
693 936 51
693 1011 217
693 459 161
693 439 244
693 115 193
694 399 212
695 82 220
695 552 77
695 761 73
695 644 130
696 236 149
697 561 2
697 148 62
697 1017 188
697 27 109
697 60 180
697 594 118
697 229 72
698 520 25
698 721 227
698 80 156
698 306 106
698 613 220
698 557 50
698 517 244
699 240 63
699 496 60
699 116 234
699 840 198
699 24 195
699 698 98
699 746 235
699 478 95
700 852 37
700 502 96
700 778 10
700 35 73
700 809 154
701 489 24
701 305 200
701 469 230
701 366 71
701 53 228
701 834 15
701 568 30
701 174 198
701 82 173
702 480 202
702 279 242
702 676 110
702 214 89
702 421 217
702 373 57
703 854 184
703 952 189
703 477 192
703 151 68
703 581 93
704 998 44
704 785 214
704 10 89
704 465 44
704 453 81
704 242 72
704 819 51
704 362 174
704 61 140
705 974 249
705 78 53
705 11 201
705 952 26
705 932 30
705 344 228
705 510 5
705 218 235
706 977 87
706 397 23
706 59 198
706 256 158
706 535 25
707 689 113
707 209 68
707 658 150
707 271 147
707 972 251
707 390 87
707 460 71
708 540 154
708 770 6
708 331 67
708 855 70
708 465 216
708 436 248
708 671 226
709 79 165
710 275 6
710 717 95
710 821 250
710 859 159
710 786 122
710 508 16
710 924 198
711 127 42
711 164 253
711 437 24
711 171 200
711 57 193
711 585 205
711 547 37
712 496 161
712 135 142
712 560 82
713 480 146
713 954 102
713 382 44
713 543 36
713 950 137
713 655 76
713 249 96
713 511 36
713 780 121
715 824 246
716 500 92
717 41 16
717 231 51
718 69 198
718 668 237
718 1021 88
718 320 167
718 716 244
719 567 140
719 383 238
719 578 170
719 14 185
719 418 32
719 37 15
720 107 149
720 745 187
721 415 241
721 385 134
722 344 77
722 188 9
722 826 94
722 459 95
723 245 148
723 205 42
723 775 25
723 698 98
723 654 113
723 193 18
723 785 50
723 745 195
723 580 198
724 563 211
724 177 177
724 954 86
724 20 81
724 988 68
724 976 16
724 822 101
724 977 4
724 782 243
725 738 89
725 183 233
725 449 90
725 283 216
725 968 145
727 942 124
727 584 22
727 42 22
728 372 88
728 138 67
728 812 50
728 933 227
728 406 209
728 160 234
728 624 23
729 512 139
729 463 162
729 358 169
729 368 163
729 410 102
729 13 106
729 782 253
729 941 148
729 311 134
730 706 154
730 311 155
730 998 102
730 68 6
731 996 147
731 712 1
731 862 156
731 420 47
731 324 86
731 872 133
731 9 154
731 785 207
732 153 200
733 819 210
733 438 205
733 833 211
733 265 248
733 905 26
733 768 21
733 228 150
733 425 109
733 243 147
734 781 227
734 384 134
734 454 152
734 792 126
735 38 190
735 837 53
735 692 143
735 381 32
735 249 88
735 296 227
735 61 112
735 733 245
736 395 184
736 230 210
736 993 248
736 311 93
736 691 207
738 148 71
738 345 56
738 425 222
738 702 35
738 854 49
738 312 250
738 463 103
738 247 53
738 163 240
739 340 108
739 1018 196
739 205 142
740 765 109
740 992 19
740 3 157
740 879 113
740 983 161
740 527 88
740 1016 222
740 280 16
741 159 3
741 579 138
741 877 236
741 313 197
742 569 98
742 652 103
742 972 62
744 377 196
744 356 117
744 205 236
744 241 235
745 547 204
745 209 243
745 939 94
745 684 218
746 83 181
746 528 1
747 549 214
747 265 112
747 190 171
747 374 41
747 858 107
748 61 235
748 829 21
748 632 95
749 122 147
749 594 31
749 852 67
750 707 40
750 500 228
750 496 120
750 832 123
750 58 50
750 493 65
750 971 229
751 453 70
751 40 94
751 846 198
751 749 213
751 863 85
751 449 22
751 281 69
751 36 156
752 17 79
752 886 225
752 746 236
752 715 107
752 379 178
753 525 38
753 505 165
753 760 31
753 911 66
753 645 192
753 376 132
753 429 209
753 219 82
753 737 230
754 214 188
754 104 221
754 109 21
754 653 215
754 67 54
754 150 238
754 312 20
756 514 13
756 886 104
756 968 207
757 837 75
757 482 251
757 201 86
758 781 50
758 764 72
758 852 145
758 822 201
758 799 186
758 306 177
759 58 165
759 720 235
759 278 197
759 942 105
760 386 160
760 679 31
760 396 50
760 760 4
760 939 207
761 274 112
761 591 118
762 33 33
762 606 142
762 922 84
764 82 142
765 705 171
765 604 233
765 887 131
765 871 107
765 836 191
765 970 143
765 180 136
765 250 120
765 28 24
766 395 173
766 718 234
766 69 171
766 942 182
766 806 245
766 440 208
766 249 49
766 169 155
767 866 249
767 369 144
767 93 66
767 293 205
768 86 59
768 827 227
768 113 159
768 860 55
769 467 169
769 652 61
769 296 243
769 901 75
770 404 103
770 128 18
770 569 58
770 156 170
770 108 103
770 362 71
770 67 248
771 879 92
771 408 81
772 819 125
772 677 238
772 834 49
772 569 195
772 316 112
772 829 181
772 69 209
772 242 223
772 662 37
773 414 253
773 818 101
773 162 97
774 184 144
774 960 87
774 356 255
774 989 39
775 619 34
775 446 250
775 953 120
775 709 224
775 912 198
775 966 254
775 281 97
777 953 108
777 146 237
777 468 66
777 72 201
777 248 17
777 903 81
777 500 241
777 62 191
778 73 104
778 800 42
778 103 171
778 914 246
778 631 42
778 465 150
778 104 185
779 24 241
779 531 149
779 521 44
779 223 181
780 641 104
780 384 191
781 524 8
781 897 68
781 312 54
782 396 201
782 827 51
783 922 129
783 140 241
783 753 225
783 380 206
783 369 128
783 593 169
783 850 83
784 381 240
784 565 247
784 213 155
784 311 99
784 719 89
784 207 114
784 235 234
784 203 64
784 59 61
785 551 89
785 203 113
785 729 156
785 106 219
785 475 19
785 575 164
786 301 162
786 496 201
786 734 77
786 136 194
787 192 117
787 384 9
787 805 169
787 355 71
787 854 38
787 911 19
788 684 159
788 861 25
788 511 219
788 167 134
788 242 167
788 689 205
788 748 10
791 768 210
791 1000 214
792 849 49
792 816 16
792 469 242
792 988 85
792 810 83
792 655 63
792 253 38
792 378 101
792 428 174
793 370 137
793 731 226
793 240 212
794 855 32
796 156 142
796 574 157
796 264 254
797 49 66
797 86 36
797 89 98
797 874 190
798 396 146
798 821 237
798 1013 150
798 15 129
798 643 89
798 919 22
799 735 149
799 918 28
799 807 172
799 163 248
800 272 236
800 498 36
800 825 169
800 517 49
800 94 159
800 984 235
800 785 159
802 826 183
803 319 232
803 603 41
803 298 125
803 59 221
803 916 235
803 261 154
804 160 163
804 568 98
804 971 224
804 485 61
804 963 252
804 956 153
804 944 11
804 281 191
805 389 110
805 288 183
805 679 218
805 168 240
806 223 235
806 599 171
806 686 199
806 550 208
806 715 87
806 30 46
806 536 239
806 9 185
806 11 115
808 8 182
808 252 80
809 555 82
809 152 194
809 219 40
809 178 87
809 325 81
810 406 10
810 178 41
811 103 186
811 180 106
811 199 210
811 460 148
811 652 128
811 712 85
811 487 72
811 962 81
811 196 78
812 674 143
812 513 224
812 481 70
812 903 57
812 544 143
812 832 151
812 695 247
812 398 36
813 37 178
813 146 109
813 433 166
813 351 178
813 317 93
813 630 25
814 65 29
814 433 123
814 684 76
814 122 40
814 318 216
814 901 79
814 238 255
815 154 96
815 78 92
815 833 201
815 945 84
815 953 64
815 725 47
816 521 8
816 65 210
818 454 11
819 633 71
819 687 46
819 491 254
819 238 137
819 697 61
819 579 46
820 51 33
820 58 176
820 750 48
820 396 203
820 802 144
820 210 236
820 547 208
820 645 7
820 374 216
821 56 64
821 35 110
821 646 184
821 901 55
822 959 170
822 216 94
822 940 163
822 821 51
822 188 52
823 532 253
823 210 211
823 287 52
823 229 215
823 156 200
823 490 179
823 133 174
823 945 111
824 469 198
825 222 217
825 468 244
826 71 116
826 532 107
827 235 205
827 992 214
827 758 22
827 723 182
827 128 197
827 147 235
827 145 181
828 120 188
828 275 93
828 682 79
828 398 211
828 757 251
828 108 159
828 817 134
828 107 213
829 27 213
829 596 83
829 428 156
829 610 113
829 561 58
829 536 248
829 508 253
830 481 71
830 395 208
830 817 60
830 563 72
830 16 139
831 650 97
831 740 127
831 30 58
831 750 20
831 988 163
832 616 82
832 755 225
832 886 118
832 802 210
832 262 125
834 704 149
834 567 114
834 624 186
834 221 236
835 918 54
835 825 118
835 682 161
835 492 130
835 7 26
835 769 6
836 526 25
836 244 59
836 1008 207
836 852 40
836 933 152
836 148 5
837 836 213
837 869 48
837 654 96
837 15 18
837 562 25
837 744 179
838 664 196
838 866 5
838 479 82
838 924 228
838 880 211
838 629 5
838 596 100
841 347 141
841 299 246
841 59 17
841 768 24
842 142 209
842 294 17
842 509 116
842 756 100
842 316 22
842 581 80
842 629 167
843 5 162
843 217 26
843 151 132
843 218 236
843 675 130
843 908 224
843 385 75
844 769 114
844 199 160
844 928 8
844 279 194
844 362 108
845 489 59
845 966 81
845 709 188
845 151 88
845 460 100
846 878 214
846 253 206
846 212 119
846 446 17
846 176 38
846 195 236
846 518 67
846 693 190
847 812 240
847 525 194
847 414 102
847 208 40
847 494 104
847 346 163
847 159 140
848 173 154
848 979 18
848 116 92
848 505 130
849 231 51
849 999 68
849 129 248
849 505 146
849 819 30
849 725 212
849 14 243
849 609 209
851 441 23
851 229 123
851 919 59
851 1011 207
851 148 193
851 822 194
853 561 118
853 937 5
853 313 134
853 635 86
853 854 65
853 481 144
854 422 204
854 1021 183
854 760 6
854 757 63
854 570 67
854 506 132
854 850 146
854 746 25
855 982 130
855 738 99
856 211 118
857 138 63
857 846 213
857 315 145
857 914 72
857 369 183
857 580 79
857 608 44
857 314 188
858 269 99
858 752 198
858 721 211
858 625 42
858 837 133
858 654 168
859 821 89
859 316 32
859 405 8
859 287 34
860 304 134
860 636 37
861 565 61
861 495 45
861 703 17
861 283 157
861 226 130
861 643 200
861 357 142
861 742 8
861 677 59
862 83 210
862 385 39
863 864 56
863 106 140
863 496 73
865 290 204
865 462 221
865 902 25
865 860 150
865 294 171
866 623 62
866 765 36
866 154 218
867 738 125
867 89 21
867 345 81
867 441 32
867 221 243
867 399 134
867 515 231
868 114 1
868 107 189
868 383 6
868 952 16
868 61 197
868 945 80
868 888 6
869 911 214
869 960 163
869 767 204
869 460 109
869 370 223
869 744 218
869 915 2
869 24 247
870 688 238
870 107 12
871 957 26
871 561 151
871 811 47
871 119 111
871 282 188
871 932 148
871 866 14
871 493 76
872 300 82
872 232 23
872 743 106
872 289 107
872 897 51
872 900 119
873 348 218
874 219 102
874 974 131
874 93 185
874 305 12
874 765 168
874 663 1
875 453 67
875 368 96
875 541 171
875 846 84
876 339 90
876 285 85
877 322 90
878 41 196
878 320 15
878 533 20
878 670 67
879 803 172
879 989 193
880 621 253
880 854 230
880 3 92
880 821 189
880 563 94
881 748 21
881 588 129
881 637 111
881 8 211
881 898 41
881 107 77
882 936 204
882 402 208
882 394 113
882 71 132
883 94 140
883 611 220
883 723 224
883 799 147
883 1009 213
883 890 122
883 993 43
883 850 203
883 101 138
884 729 142
884 742 115
885 739 32
885 974 81
885 797 144
885 124 79
885 562 206
885 813 193
885 554 114
885 843 193
885 57 60
886 744 166
887 949 8
887 777 88
888 901 158
888 400 223
888 953 200
888 159 182
888 889 46
888 333 52
888 794 78
888 969 13
889 825 208
889 1011 176
889 641 6
889 223 203
889 366 207
889 861 146
890 39 176
890 227 173
890 106 201
890 448 38
890 243 39
892 874 242
892 485 120
892 635 139
892 885 14
892 873 19
893 397 225
893 483 177
894 948 181
894 772 136
894 288 79
894 310 188
894 678 2
894 213 158
894 575 108
894 953 116
895 341 77
895 262 99
895 177 180
896 205 109
896 253 107
896 838 218
896 673 82
897 509 17
897 223 156
897 710 205
897 172 14
898 887 128
899 330 210
899 747 231
899 882 230
899 237 29
899 250 230
899 813 55
900 239 59
901 830 33
901 6 190
902 847 51
902 332 71
902 650 112
903 252 79
903 230 197
903 1023 234
903 343 236
903 617 81
903 227 36
904 489 118
904 420 112
904 847 6
905 209 219
908 111 165
908 930 30
909 564 93
909 551 19
909 358 115
909 981 89
910 218 42
910 712 237
910 9 252
910 968 84
910 467 51
910 685 89
910 325 54
910 238 100
911 428 142
911 208 189
911 343 7
911 921 184
911 81 214
911 785 170
911 349 171
911 0 231
912 694 7
912 285 66
912 251 53
912 956 215
912 598 198
912 416 140
912 996 118
913 66 60
913 701 205
913 785 95
914 501 152
914 991 22
914 543 14
914 640 148
914 82 166
914 138 61
914 636 67
915 980 218
915 253 78
915 725 109
915 990 115
916 839 208
916 704 170
916 321 253
916 253 89
916 209 2
916 992 5
916 3 102
916 680 173
918 342 208
918 98 132
918 729 137
918 542 38
918 301 168
918 790 155
918 661 181
918 468 118
919 60 223
919 126 234
919 995 68
919 517 100
919 131 191
919 835 193
920 291 219
921 196 156
923 339 239
924 403 73
924 223 223
925 608 44
925 637 117
925 382 220
925 780 106
925 891 44
925 209 122
926 358 43
926 14 90
926 955 170
927 549 154
927 128 194
927 960 239
927 966 105
927 975 149
927 936 3
927 313 65
927 863 233
928 970 7
928 993 149
928 377 106
928 662 212
928 991 240
928 481 83
928 709 50
928 979 126
929 660 150
929 659 120
929 1021 76
929 37 163
930 536 67
930 773 44
930 426 255
930 244 223
930 10 76
930 703 209
931 558 243
931 350 99
931 290 1
931 638 111
931 421 55
931 166 193
931 243 152
931 459 9
931 214 143
932 187 199
932 151 14
932 497 4
932 573 57
933 302 177
933 259 169
933 485 189
933 709 92
933 440 168
933 590 138
934 43 207
934 789 172
934 326 135
935 900 78
935 891 253
935 59 109
935 235 188
936 682 231
938 693 152
939 338 234
939 434 223
939 643 129
939 451 210
939 920 192
939 876 77
940 113 208
940 903 60
941 946 99
941 3 64
941 369 76
941 758 166
941 80 236
941 1007 67
941 741 96
941 88 249
941 472 85
942 177 176
942 1010 17
942 417 135
942 761 40
942 905 138
942 245 14
942 304 245
942 925 250
944 1012 122
944 646 129
944 961 203
944 442 76
944 730 186
944 249 12
944 766 141
945 0 215
945 932 177
945 889 32
945 546 68
946 596 116
946 371 184
947 574 246
947 965 94
947 885 163
947 661 104
948 576 171
948 533 40
948 409 177
948 130 99
948 414 40
948 493 222
948 648 22
948 606 233
948 38 214
949 361 111
950 891 235
950 415 34
950 441 60
950 290 8
950 841 170
950 521 41
950 639 200
950 590 162
950 109 23
951 973 132
951 514 15
951 732 67
951 1010 122
951 912 28
951 689 230
951 383 60
951 258 111
952 452 202
952 92 190
952 488 158
952 206 26
952 76 4
952 898 198
952 507 96
952 168 203
953 405 93
953 76 13
953 75 55
953 916 118
953 552 73
953 54 178
953 583 33
954 286 123
954 681 178
954 209 247
954 771 235
954 572 200
954 519 193
954 7 69
954 100 58
954 671 188
955 1016 54
955 804 225
955 360 204
955 885 93
955 609 116
955 334 122
955 668 169
955 782 180
956 410 33
956 95 240
956 164 183
956 85 133
956 133 220
956 511 41
957 715 122
957 679 207
957 847 177
957 710 144
957 336 126
958 536 212
958 789 18
958 291 207
958 691 74
958 467 78
959 246 72
959 988 50
959 141 89
959 532 166
959 166 69
960 75 84
960 553 107
960 611 47
961 776 251
961 419 225
961 774 35
961 696 176
962 412 125
962 897 47
962 552 207
962 668 101
962 380 109
962 246 173
962 593 151
962 131 247
963 402 60
963 626 82
963 419 51
963 950 8
964 204 193
964 563 116
964 251 27
964 641 156
965 917 223
965 725 71
965 36 14
966 979 70
966 796 236
966 846 123
966 303 219
966 602 15
967 864 9
967 949 196
967 69 228
967 71 233
967 788 77
967 329 163
967 560 120
969 637 13
969 849 192
969 707 49
969 805 40
969 264 28
969 501 62
969 71 247
969 618 215
970 71 42
970 651 157
970 305 86
970 121 251
972 447 217
972 642 154
973 371 76
973 255 101
973 220 44
973 778 218
973 576 158
973 471 249
975 662 5
975 272 19
976 724 249
976 469 158
977 317 145
978 726 101
978 331 14
978 989 234
978 414 79
978 1018 64
978 799 6
978 451 13
979 527 24
979 78 105
979 948 220
979 75 54
979 788 181
979 881 191
979 594 132
979 454 22
980 22 75
980 441 85
980 650 34
980 258 167
980 119 251
980 752 65
980 849 210
980 848 100
981 355 251
981 97 251
981 234 240
981 496 35
981 771 56
981 62 65
983 996 73
984 838 88
984 794 149
984 755 5
984 393 73
984 11 80
984 424 109
984 428 124
984 683 125
985 666 174
986 336 255
986 758 250
986 261 237
986 389 39
986 1000 186
986 603 218
986 1009 57
987 562 41
987 982 104
987 545 83
987 486 19
987 844 68
987 280 155
987 245 9
987 753 203
987 365 146
988 18 184
988 120 123
988 501 86
988 135 73
988 479 104
988 515 35
988 141 74
988 885 170
988 425 103
989 659 23
989 360 206
989 1022 158
989 140 41
989 374 207
989 212 168
990 726 254
990 1003 33
990 798 148
990 812 26
990 539 254
991 218 165
991 260 92
991 758 188
991 783 115
991 646 147
991 353 29
991 39 167
992 446 136
992 871 193
992 527 24
992 986 130
992 505 7
992 900 8
992 591 191
993 893 132
993 492 96
993 179 183
994 576 137
994 808 220
994 926 84
994 596 135
995 979 143
995 835 33
995 132 118
996 138 8
998 1018 121
998 436 67
998 342 43
998 525 211
998 865 5
998 0 116
998 30 72
998 657 32
998 705 57
999 253 188
999 993 42
999 469 59
999 801 142
999 86 240
999 838 13
999 488 139
1000 596 7
1000 647 176
1000 65 48
1000 3 147
1000 56 185
1000 784 150
1000 667 29
1000 763 78
1000 133 107
1001 509 180
1001 607 92
1001 158 157
